title,year,id,video_page,subtitle_page
The Man with the Golden Arm,1955,the-man-with-the-golden-arm-1955,https://archive.org/details/themanwiththegoldenarm1955_202001,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-1475/sort-7/asc-0
Maniac,1934,maniac-1934,https://archive.org/details/Maniac1934,https://www.opensubtitles.org/en/subtitles/9032600/maniac-en
Manos: The Hands of Fate,1966,manos-the-hands-of-fate-1966,https://archive.org/details/y-2-mate.is-manos-the-hands-of-fate-1966-horror-full-length-film-d-3-lbzla-0-v-3,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-31076/sort-7/asc-0
March of the Wooden Soldiers,1950,march-of-the-wooden-soldiers-1950,,
McLintock!,1963,mclintock-1963,https://archive.org/details/McLintock1963,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-16355/sort-7/asc-0
Meet John Doe,1941,meet-john-doe-1941,https://archive.org/details/meet_john_doe,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-5669/sort-7/asc-0
Millie,1931,millie-1931,https://archive.org/details/Millie1931,https://www.opensubtitles.org/en/subtitles/7229118/millie-en
Mr. Imperium,1951,mr-imperium-1951,https://archive.org/details/Mr.Imperium,
My Dear Secretary,1948,my-dear-secretary-1948,https://archive.org/details/mydearsecretary1948kirkdouglas,https://www.opensubtitles.org/at/search/sublanguageid-all/idmovie-7342/sort-7/asc-0
My Favorite Brunette,1947,my-favorite-brunette-1947,https://archive.org/details/my_favorite_brunette_202110,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-59011/sort-7/asc-0
My Man Godfrey,1936,my-man-godfrey-1936,https://archive.org/details/MyManGodfrey1936,https://www.opensubtitles.org/en/search/sublanguageid-eng/idmovie-8247/sort-7/asc-0
Night of the Living Dead,1968,night-of-the-living-dead-1968,https://archive.org/details/night_of_the_living_dead,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-584/sort-7/asc-0
Nothing Sacred,1937,nothing-sacred-1937,https://archive.org/details/NothingSacred,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-26834/sort-7/asc-0
Of Human Bondage,1934,of-human-bondage-1934,https://archive.org/details/of.-human.-bondage.-1934.1080p.-blu-ray.-h-264.-aac-rarbg,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-29993/sort-7/asc-0
One-Eyed Jacks,1961,one-eyed-jacks-1961,https://archive.org/details/one-eyed.-jacks.-1961.-remastered.-1080p.-blu-ray.x-264-depth,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-9856/sort-7/asc-0
Our Town,1940,our-town-1940,https://archive.org/details/Our_Town,
The Outlaw,1943,the-outlaw-1943,https://archive.org/details/ClaCinOnl_TheOutlaw,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-16084/sort-7/asc-0
The Painted Hills,1951,the-painted-hills-1951,https://archive.org/details/ThePaintedHills,
The Pay-Off,1930,the-pay-off-1930,https://archive.org/details/ThePay-Off,
Penny Serenade,1941,penny-serenade-1941,https://archive.org/details/penny.-serenade.-1941.1080p.-blu-ray.x-264-phobos,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-7555/sort-7/asc-0/moviename-penny%20serenade
Plan 9 from Outer Space,1959,plan-9-from-outer-space-1959,https://archive.org/details/plan-9-from-outer-space-1959-bela-lugosi-colorized,https://www.opensubtitles.org/en/subtitles/3253194/plan-9-from-outer-space-en
Popeye the Sailor Meets Ali Baba's Forty Thieves,1937,popeye-the-sailor-meets-ali-baba's-forty-thieves-1937,https://archive.org/details/PopeyeTheSailorMeetsAliBabasFortyThieves1937,https://www.opensubtitles.org/en/subtitles/9340679/popeye-the-sailor-meets-ali-baba-s-forty-thieves-en
Popeye the Sailor Meets Sindbad the Sailor,1936,popeye-the-sailor-meets-sindbad-the-sailor-1936,https://archive.org/details/POPEYEMeetsSindbadTheSailor1936,https://www.opensubtitles.org/en/subtitles/8441043/popeye-the-sailor-meets-sindbad-the-sailor-en
Pot o' Gold,1941,pot-o-gold-1941,https://archive.org/details/JImmyStewartPotOGold,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-6905/sort-7/asc-0
Quicksand,1950,quicksand-1950,https://archive.org/details/quicksand.-1950.-dvdrip.x-264-handjob,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-14279/sort-7/asc-0
Rage at Dawn,1955,rage-at-dawn-1955,https://archive.org/details/rage-at-dawn-western-1955-randolph-scott-forrest-tucker-mala-powers,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-28809/sort-7/asc-0/moviename-rage%20at%20dawn%20(1955)
Rain,1932,rain-1932,https://archive.org/details/Rain1932OneOfJoanCrawfordsBestPerformances,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-29607/sort-7/asc-0
Randy Rides Alone,1934,randy-rides-alone-1934,https://archive.org/details/RandyRidesAlone1934,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-8027/sort-7/asc-0
The Red House,1947,the-red-house-1947,https://archive.org/details/THE_RED_HOUSE,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-2752/sort-7/asc-0
Reefer Madness,1936,reefer-madness-1936,https://archive.org/details/reefer_madness1938,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-20419/sort-7/asc-0
Riders of Destiny,1933,riders-of-destiny-1933,https://archive.org/details/ridersofdestiny1933,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-7873/sort-7/asc-0
Road to Bali,1952,road-to-bali-1952,https://archive.org/details/RoadToBali1952_201612,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-15259/sort-7/asc-0
"Rock, Rock, Rock!",1956,rock-rock-rock-1956,https://archive.org/details/rock_rock_rock,https://www.opensubtitles.org/en/subtitles/8096887/rock-rock-rock-en
The Royal Bed,1931,the-royal-bed-1931,https://archive.org/details/ClassicRoyalBed31,https://www.opensubtitles.org/en/subtitles/8879639/the-royal-bed-en
Royal Wedding,1951,royal-wedding-1951,https://archive.org/details/royalwedding1951film,https://www.opensubtitles.org/en/subtitles/7240664/royal-wedding-en
Sagebrush Trail,1933,sagebrush-trail-1933,https://archive.org/details/SagebrushTrail,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-7866/sort-7/asc-0
Salt of the Earth,1954,salt-of-the-earth-1954,https://archive.org/details/1954SaltOfTheEarth,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-22880/sort-7/asc-0/moviename-la+sal+de+la+tierra
Santa Claus Conquers the Martians,1964,santa-claus-conquers-the-martians-1964,https://archive.org/details/y-2-mate.is-santa-claus-conquers-the-martians-1964-adventure-comedy-sci-fi-chris,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-11317/sort-7/asc-0
Santa Fe Trail,1940,santa-fe-trail-1940,https://archive.org/details/SantaFeTrail1940,https://www.opensubtitles.org/en/idmovie-9703/sort-7/asc-0
Scarlet Street,1945,scarlet-street-1945,https://archive.org/details/Scarlet.Street.194517,https://www.opensubtitles.org/en/search/sublanguageid-all/idmovie-1238/sort-7/asc-0
